EMPLOYER_NAME,Average Wage,Employee Count
ACCENTURE LLP,77081.4026968039,33447
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,70381.56114787768,17528
DELOITTE CONSULTING LLP,85027.67263622013,36742
ERNST & YOUNG U.S. LLP,104759.31794646774,18232
"HCL AMERICA, INC.",69879.27550930418,22678
IBM INDIA PRIVATE LIMITED,128918.77600163652,34219
INFOSYS LIMITED,93261.61323281782,130592
MICROSOFT CORPORATION,89935.88328120111,25576
TATA CONSULTANCY SERVICES LIMITED,71986.62009517041,64726
WIPRO LIMITED,72752.86071450838,48117
