WORKSITE,Average Wage,Employee Count
"ATLANTA, GEORGIA",123330.53337516518,52193
"BOSTON, MASSACHUSETTS",156259.40399637795,31471
"CHICAGO, ILLINOIS",124473.75638612687,51496
"DALLAS, TEXAS",146376.7711472295,31628
"HOUSTON, TEXAS",145415.85280579844,83889
"NEW YORK, NEW YORK",153214.412077832,191719
"REDMOND, WASHINGTON",159276.3608974108,30667
"SAN FRANCISCO, CALIFORNIA",146296.17316068735,62787
"SAN JOSE, CALIFORNIA",167736.2071255156,50083
"SUNNYVALE, CALIFORNIA",140235.79692082494,35136
